Date,Close
2010-12-29,394.48
2010-12-30,392.79
2010-12-31,387.53
2011-01-04,403.5
2011-01-05,406.18
2011-01-06,401.62
2011-01-07,397.75
2011-01-10,391.8
2011-01-11,399.34
2011-01-12,408.66
2011-01-13,422.85
2011-01-14,423.34
2011-01-17,419.37
2011-01-18,425.42
2011-01-19,420.17
2011-01-20,418.48
2011-01-21,445.76
2011-01-24,437.23
2011-01-25,429.39
2011-01-26,426.81
2011-01-27,426.81
2011-01-28,423.54
2011-01-31,413.42
2011-02-01,420.46
2011-02-02,421.46
2011-02-03,431.28
2011-02-04,433.46
2011-02-07,438.52
2011-02-08,441.69
2011-02-09,439.31
2011-02-10,439.41
2011-02-11,436.34
2011-02-14,439.11
2011-02-15,448.83
2011-02-16,468.18
2011-02-17,486.03
2011-02-18,481.37
2011-02-21,462.62
2011-02-22,473.33
2011-02-23,469.37
2011-02-24,452.3
2011-02-25,452.8
2011-02-28,447.94
2011-03-01,439.81
2011-03-02,438.81
2011-03-03,442.98
2011-03-04,437.03
2011-03-07,434.15
2011-03-08,440.2
2011-03-09,436.53
2011-03-10,426.52
2011-03-11,425.03
2011-03-14,415.11
2011-03-15,410.65
2011-03-16,403.7
2011-03-17,405.19
2011-03-18,404.59
2011-03-21,410.55
2011-03-22,414.51
2011-03-23,410.84
2011-03-24,415.41
2011-03-25,418.18
2011-03-28,420.66
2011-03-29,415.41
2011-03-30,407.67
2011-03-31,404.59
2011-04-01,419.97
2011-04-04,415.01
2011-04-05,413.32
2011-04-06,424.33
2011-04-07,425.72
2011-04-08,430.78
2011-04-11,440.7
2011-04-12,434.35
2011-04-13,438.02
2011-04-14,431.77
2011-04-15,423.24
2011-04-18,414.71
2011-04-19,409.16
2011-04-20,409.06
2011-04-21,414.61
2011-04-26,415.01
2011-04-27,411.14
2011-04-28,411.34
2011-05-03,415.01
2011-05-04,413.62
2011-05-05,401.52
2011-05-06,423.94
2011-05-09,413.62
2011-05-10,422.15
2011-05-11,420.76
2011-05-12,425.62
2011-05-13,424.13
2011-05-16,418.58
2011-05-17,417.59
2011-05-18,413.62
2011-05-19,418.08
2011-05-20,411.64
2011-05-23,405.49
2011-05-24,401.12
2011-05-25,409.55
2011-05-26,405.19
2011-05-27,418.98
2011-05-31,422.55
2011-06-01,415.11
2011-06-02,414.22
2011-06-03,412.03
2011-06-06,411.44
2011-06-07,410.55
2011-06-08,410.25
2011-06-09,407.27
2011-06-10,402.71
2011-06-13,402.41
2011-06-14,412.13
2011-06-15,404.2
2011-06-16,399.54
2011-06-17,399.64
2011-06-20,381.98
2011-06-21,386.05
2011-06-22,383.37
2011-06-23,364.42
2011-06-24,353.61
2011-06-27,348.06
2011-06-28,362.54
2011-06-29,364.62
