Date,HSBA.UK,BARC.UK,LLOY.UK,RBS.UK,BP.UK,RDSA.UK,RIO.UK,AAL.UK
2009-12-08,-0.05540435458786941,-0.08441679395000556,-0.14321397348748421,-0.1484916831124895,-0.01465614430665163,-0.018269747447608786,-0.019685902874050698,-0.05655156122130445
2009-12-09,-0.013622416916195368,-0.04464863989637302,-0.07541598046453513,-0.08064663997799726,0.0016037777876776182,0.009088405397961852,0.048592404336152084,-0.012874169372749433
2009-12-10,0.009532464160531218,-0.02385473534298599,-0.006496608388267933,-0.09762257249847595,-0.013101469589785086,-0.0043691971600217094,0.0017715464334975284,-0.02511402521041528
2009-12-11,-0.0051317203305050185,-0.014953045020353883,0.01940959109920004,-0.07897055695664068,0.004819866930728223,0.00916412107747866,0.014883991796291518,-0.016522769447905095
2009-12-14,-0.008389564464330812,-0.01488616462346759,0.018819928442909584,-0.09543287622859165,-0.00971974022577704,-0.002448979591836875,-0.010749938090424571,-0.028025504337828022
2009-12-15,-0.028927192648578126,-0.04349031568107098,0.04238360323886625,-0.05721497686159016,-0.009475775638086548,-0.005192675594424823,-0.04876098487847358,-0.030137226058365885
2009-12-16,-0.01872733865119658,-0.06859355032699388,-0.014864945323198153,-0.09309602411367879,-0.005642027617395851,-0.006811989100817484,-0.030654590855942354,0.00641832045390367
2009-12-17,-0.05253514739229026,-0.09764715017859915,-0.08210029592897683,-0.1123176802818131,-0.01775600795958976,-0.029403830590774338,0.0028773618345057095,-0.004993149642259054
2009-12-18,-0.047326311153521594,-0.07751507457949869,-0.09293013555787288,-0.09608040815079577,-0.018908568693154604,-0.035858722027500844,-0.0009949921469626366,-0.009932399096346356
2009-12-21,0.003442534004377995,-0.05334255604833793,-0.08460705509974586,-0.021024401549514793,0.017250484069706085,0.004105090311986803,0.03756627604606377,0.044761504480174574
2009-12-22,0.00588400637121711,-0.011101224524384556,-0.09946154003644336,-0.0461374817178567,0.03927411822265703,0.019923580786026074,0.024199539333070508,0.04347806600813908
2009-12-23,0.001341048957472335,-0.052482269503546064,-0.1566496778536397,-0.09348259666731007,0.04891613109398851,0.04086670323642361,0.06494709495960027,0.05667237435226746
2009-12-24,0.022066628181970582,-0.04153027823240596,-0.12362079267078274,-0.041204803378200094,0.05395565555545723,0.05035773252614195,0.07530780521678393,0.052730888651674857
